U_MCU	20	NC	NC	gge37
U_MCU	21	NC	NC	gge37
U_MCU	22	NC	NC	gge37
U_MCU	23	IO15	ESP_IO15	gge37
U_MCU	24	IO2	ESP_IO2	gge37
U_MCU	25	IO0	ESP_IO0	gge37
U_MCU	26	IO4	NC	gge37
U_MCU	27	IO16	NC	gge37
U_MCU	28	IO17	STATUS_LED_DRV	gge37
U_MCU	29	IO5	ADS_CS_N	gge37
U_MCU	3	EN	ESP_EN	gge37
U_MCU	30	IO18	SPI_SCK	gge37
U_MCU	31	IO19	SPI_MISO	gge37
U_MCU	32	NC	NC	gge37
U_MCU	33	IO21	NC	gge37
U_MCU	34	RXD0	ESP_RXD	gge37
U_MCU	35	TXD0	ESP_TXD	gge37
U_MCU	36	IO22	NC	gge37
U_MCU	37	IO23	SPI_MOSI	gge37
U_MCU	38	GND	GND	gge37
U_MCU	39	GND	GND	gge37
U_MCU	4	SENSOR_VP	NC	gge37
U_MCU	5	SENSOR_VN	NC	gge37
U_MCU	6	IO34	NC	gge37
U_MCU	7	IO35	NC	gge37
U_MCU	8	IO32	NC	gge37
U_MCU	9	IO33	NC	gge37
U_USB	1	GND	GND	gge38
U_USB	10	DSR#	NC	gge38
U_USB	11	RI#	NC	gge38
U_USB	12	DCD#	NC	gge38
U_USB	13	DTR#	CH_DTR_N	gge38
U_USB	14	RTS#	CH_RTS_N	gge38
U_USB	15	R232	GND	gge38
U_USB	16	VCC	USB_5V	gge38
U_USB	2	TXD	ESP_RXD	gge38
U_USB	3	RXD	ESP_TXD	gge38
U_USB	4	V3	CH340_V3	gge38
U_USB	5	D+	USB_DP	gge38
U_USB	6	D-	USB_DM	gge38
U_USB	7	NC.	NC	gge38
U_USB	8	OUT#	NC	gge38
U_USB	9	CTS#	NC	gge38
